First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
12 Sunnybank Place,Aberdeen,AB24 3LA,George St/Harbour,2,1,1,495,38,Flat,CT Band A,EPC band D,,-2.106235377,57.1589939
8 Merkland Road East,Aberdeen,AB24 5PR,George St/Harbour,2,1,1,600,83,Flat,CT Band C,EPC band D,,-2.0949654,57.1585709
36 Merkland Road East,Aberdeen,AB24 5PT,George St/Harbour,2,1,1,550,47,Flat,CT Band A,EPC band D,Parking,-2.0927116,57.1588294
37 Carmelite Street,Aberdeen,AB11 6NQ,George St/Harbour,3,1,2,900,75,Flat,CT Band D,EPC band C,,-2.0985157,57.1458691
457 North Anderson Drive,Aberdeen,AB16 7GB,Northfield/Mastrick North,2,1,1,500,84,Flat,CT Band B,EPC band D,Parking,-2.140625116,57.16843065
"78F McDonald Court,  Jute Street",Aberdeen,AB24 3HB,George St/Harbour,2,1,1,500,56,Flat,CT Band B,EPC band E,Parking,-2.10321163,57.15733667
20 Tailor Place,Aberdeen,AB24 4RU,Hilton/Woodside/Stockethill,2,2,1,800,83,Flat,CT Band D,EPC band C,Parking,-2.1266111,57.1651512
11 Frater Place,Aberdeen,AB24 5DF,George St/Harbour,4,2,1,1600,138,House Terraced,CT Band F,EPC band C,Parking,-2.0865571,57.1535874
12 Pitstruan Place,Aberdeen,AB10 6PR,Airyhall/Broomhill/Garthdee,1,1,1,375,40,Flat,CT Band B,EPC band F,Parking,-2.1207691,57.1349017
"57 Dee Village,  Millburn Street",Aberdeen,AB11 6SZ,Torry/Ferryhill,2,1,1,695,56,Flat,CT Band D,EPC band C,Parking,-2.099662,57.1388306
260 Union Grove,Aberdeen,AB10 6TR,Hazlehead/Queens Cross/Countesswells,2,1,1,550,47,Flat,CT Band C,EPC band G,,-2.1262266,57.13938229
56e Charlotte Street,Aberdeen,AB25 1LT,George St/Harbour,2,1,1,625,50,Flat,CT Band D,EPC band C,Parking,-2.104518599,57.1513723
247 Mid Stocket Road,Aberdeen,AB15 5PH,Midstocket/Rosemount,3,2,1,900,115,House Semi Detached,CT Band F,EPC band E,Parking,-2.1449695,57.1498497
